State,Date,Value
Pennsylvania,4/13/2020,-100
Pennsylvania,4/20/2020,-100
Pennsylvania,4/27/2020,-100
Pennsylvania,05/04/2020,-100
Pennsylvania,05/11/2020,-100
Pennsylvania,5/18/2020,-100
Pennsylvania,5/25/2020,-100
Pennsylvania,06/01/2020,-94
Pennsylvania,06/08/2020,-82
Pennsylvania,6/15/2020,-69
Pennsylvania,6/22/2020,-64
Pennsylvania,6/29/2020,-62
Pennsylvania,07/06/2020,-68
Pennsylvania,7/13/2020,-63
Pennsylvania,7/20/2020,-64
Pennsylvania,7/27/2020,-60
Pennsylvania,08/03/2020,-59
Pennsylvania,08/10/2020,-55
Pennsylvania,8/17/2020,-51
Pennsylvania,8/24/2020,-49
Pennsylvania,8/31/2020,-39
Pennsylvania,09/07/2020,-46
Pennsylvania,9/14/2020,-47
Pennsylvania,9/21/2020,-46
Pennsylvania,9/28/2020,-41
Pennsylvania,10/05/2020,-40
Pennsylvania,10/12/2020,-45
Pennsylvania,10/19/2020,-43
Pennsylvania,10/26/2020,-56
Pennsylvania,11/02/2020,-50
Pennsylvania,11/09/2020,-52
Texas,2/18/2020,-1
Texas,2/24/2020,4
Texas,03/02/2020,-3
Texas,03/09/2020,-26
Texas,3/16/2020,-92
Texas,3/23/2020,-100
Texas,3/30/2020,-100
Texas,04/06/2020,-100
Texas,4/13/2020,-100
Texas,4/20/2020,-100
Texas,4/27/2020,-95
Texas,05/04/2020,-86
Texas,05/11/2020,-80
Texas,5/18/2020,-70
Texas,5/25/2020,-60
Texas,06/01/2020,-55
Texas,06/08/2020,-53
Texas,6/15/2020,-44
Texas,6/22/2020,-59
Texas,6/29/2020,-63
Texas,07/06/2020,-63
Texas,7/13/2020,-62
Texas,7/20/2020,-60
Texas,7/27/2020,-53
Texas,08/03/2020,-50
Texas,08/10/2020,-46
Texas,8/17/2020,-44
Texas,8/24/2020,-44
Texas,8/31/2020,-27
Texas,09/07/2020,-33
Texas,9/14/2020,-31
Texas,9/21/2020,-37
Texas,9/28/2020,-27
Texas,10/05/2020,-28
Texas,10/12/2020,-29
Texas,10/19/2020,-30
Texas,10/26/2020,-32
Texas,11/02/2020,-36
Texas,11/09/2020,-31
